hospital_name,node_name,latitude,longitude
Rumah Sakit Royal,15,-7.307896540518619,112.73562370355764
Rumah Sakit Royal,16,-7.308045524079163,112.73571489866575
Rumah Sakit Royal,17,-7.327156856413154,112.73166939700873
Rumah Sakit Royal,18,-7.327412245752133,112.73266717876852
Rumah Sakit Royal,19,-7.32738032209416,112.73452326741918
Rumah Sakit Royal,20,-7.3290139560327585,112.74252959501199
Rumah Sakit Royal,21,-7.329360446456995,112.74735324174105
Rumah Sakit Royal,22,-7.329099737650134,112.74854414254067
Rumah Sakit Royal,Rumah Sakit Royal,-7.32940507889384,112.75053862750471
RSGM Nala Husada,Klinik Unesa,-7.3112852394190355,112.72943040972358  
RSGM Nala Husada,1,-7.3100815796328025,112.72987080180941  
RSGM Nala Husada,2,-7.309728893743635,112.73045472910741  
RSGM Nala Husada,3,-7.309992078082717,112.73254098592012  
RSGM Nala Husada,4,-7.309356603697332,112.73273508879385
RSGM Nala Husada,5,-7.3093974543801075,112.73292399715804
RSGM Nala Husada,6,-7.300666554308816,112.73972527871601
RSGM Nala Husada,7,-7.2995993780651895,112.73998014407385
RSGM Nala Husada,8,-7.297768970583965,112.7418684192535
RSGM Nala Husada,9,-7.294384825404535,112.74246923408339
RSGM Nala Husada,10,-7.291852020761846,112.74272672615335
RSGM Nala Husada,11,-7.288914800734231,112.74478666267797
RSGM Nala Husada,12,-7.291596611030436,112.74802677122486
RSGM Nala Husada,13,-7.293299339390561,112.75248996710404
RSGM Nala Husada,14,-7.293677421963671,112.75441489259433
RSGM Nala Husada,15,-7.2935497176691415,112.76222548515136
RSGM Nala Husada,16,-7.288037114149513,112.76299796143397
RSGM Nala Husada,17,-7.287611427664849,112.76271901169979
RSGM Nala Husada,18,-7.287100603349379,112.76325545349628
RSGM Nala Husada,19,-7.287462437299661,112.76359877624606
RSGM Nala Husada,20,-7.287951976884935,112.76370606460534
RSGM Nala Husada,21,-7.288420231648528,112.76606640856849
RSGM Nala Husada,22,-7.289973982555959,112.76995024717515
RSGM Nala Husada,23,-7.289378023940938,112.77413449324668
RSGM Nala Husada,24,-7.289579739242312,112.77476822373326
RSGM Nala Husada,25,-7.289638270891174,112.78286849502628
RSGM Nala Husada,26,-7.29008523966707,112.78733169077314
RSGM Nala Husada,27,-7.2907024815293955,112.79194509028682
RSGM Nala Husada,RSGM Nala Husada,-7.2903671117262245,112.79513201604249
Rumah Sakit Manyar,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Rumah Sakit Manyar,1,-7.3100815796328025,112.72987080180941  
Rumah Sakit Manyar,2,-7.309728893743635,112.73045472910741  
Rumah Sakit Manyar,3,-7.309992078082717,112.73254098592012  
Rumah Sakit Manyar,4,-7.309356603697332,112.73273508879385
Rumah Sakit Manyar,5,-7.3093974543801075,112.73292399715804
Rumah Sakit Manyar,6,-7.300666554308816,112.73972527871601
Rumah Sakit Manyar,7,-7.2995993780651895,112.73998014407385
Rumah Sakit Manyar,8,-7.297768970583965,112.7418684192535
Rumah Sakit Manyar,9,-7.294384825404535,112.74246923408339
Rumah Sakit Manyar,10,-7.291852020761846,112.74272672615335
Rumah Sakit Manyar,11,-7.288914800734231,112.74478666267797
Rumah Sakit Manyar,12,-7.291596611030436,112.74802677122486
Rumah Sakit Manyar,13,-7.293299339390561,112.75248996710404
Rumah Sakit Manyar,14,-7.293677421963671,112.75441489259433
Rumah Sakit Manyar,15,-7.2935497176691415,112.76222548515136
Rumah Sakit Manyar,16,-7.288037114149513,112.76299796143397
Rumah Sakit Manyar,17,-7.287996930784818,112.76329531041236
Rumah Sakit Manyar,Rumah Sakit Manyar,-7.289728722104188,112.7630292685403
Rumah Sakit UBAYA,Klinik Unesa,-7.3112852394190355,112.72943040972358  
Rumah Sakit UBAYA,1,-7.3100815796328025,112.72987080180941  
